frame,smoothed_conf_original,smoothed_conf_corrupted,confidence_ratio
0,0.575063169002533,0.575063169002533,1.0
1,0.5604794984683394,0.5604794984683394,1.0
2,0.5466847252831155,0.5466847252831155,1.0
3,0.5566902045397928,0.5566902045397928,1.0
4,0.5598203952303704,0.5598203952303704,1.0
5,0.5597422814361898,0.5597422814361898,1.0
6,0.5629005992013308,0.5629005992013308,1.0
7,0.5623155058251721,0.5623155058251721,1.0
8,0.5643120072447853,0.5643120072447853,1.0
9,0.565515673609442,0.565515673609442,1.0
10,0.5654573215137019,0.5654573215137019,1.0
12,0.5751637914383804,0.5682773315446101,0.98802695858766
13,0.5792453052703933,0.5687838227615688,0.9819394608577086
14,0.5816198173269029,0.5594096165960962,0.9618131981250506
15,0.5838298725039313,0.5483468723209787,0.9392237330529646
16,0.5838881147077014,0.5373492616327691,0.9202949128392004
17,0.5851559994645389,0.5254660633556691,0.897993122921938
18,0.5847804320879253,0.507738474032262,0.8682548973456766
19,0.5855976929873119,0.48900601912777386,0.8350545519283136
20,0.5871207274420139,0.4714673348618197,0.8030159945398682
21,0.5907805018705544,0.4468548961830782,0.7563805758115361
22,0.5930169944585243,0.42638140864980406,0.7190036923631963
23,0.590190056673773,0.4062849208495238,0.688396756697813
24,0.5899431620161611,0.38807922785790944,0.6578247750709215
25,0.5904419595276043,0.3773269851689601,0.6390585544950915
26,0.5881566404930619,0.3717667287771965,0.6320879561362055
27,0.5874581811459728,0.36809733706925596,0.6265932603937817
28,0.5876875163461918,0.3728183150114048,0.6343818860222088
29,0.5834051857290854,0.3720485782445896,0.6377190113242446
30,0.584025134523639,0.37411103366031534,0.6405735156680535
31,0.5802536226571429,0.379465571368734,0.6539650190050611
32,0.574350544090602,0.40586965315043927,0.7066584289444228
33,0.5650172146911754,0.40921010144054887,0.7242435996648582
34,0.5603397589449648,0.41433845738569897,0.7394414741617403
35,0.5607187169317964,0.42102271546920134,0.7508626032193123
36,0.5617216399871335,0.41773340558012323,0.7436662144433168
37,0.565157111293378,0.41763568898042036,0.7389727221597713
38,0.569544838691239,0.40930089732011155,0.7186456087647936
39,0.5716952195993332,0.407664719025294,0.7130805104702497
40,0.5689871106987748,0.3966551671425501,0.6971250485013917
41,0.5647472468537567,0.39165115381280574,0.6934981197247434
42,0.561948962672885,0.3641873103876908,0.6480789797270027
43,0.5609556698586756,0.36606911271810527,0.6525811795615345
44,0.5555832285852065,0.3709002276261647,0.6675871562405918
45,0.5470278480818698,0.3583745131889979,0.6551302907989476
46,0.5436151634146283,0.3615637416640917,0.665109743063437
47,0.5343790272116176,0.3531585561732451,0.6608765280629024
48,0.5249592516025453,0.35430176431934035,0.6749128875008144
49,0.5216946003842594,0.36020323013265926,0.6904484536879392
50,0.5128480581095913,0.3744198900957902,0.7300795706937819
51,0.5098133577709342,0.3773803343375524,0.740232339120299
52,0.5107251080350353,0.36978789369265236,0.7240448685113111
53,0.510561519091973,0.3734541818499565,0.7314577536398353
54,0.5135098816441757,0.37362956553697585,0.7275995631100114
55,0.5165280845634022,0.38216618349154785,0.7398749359670842
56,0.52047418955747,0.3771492384019352,0.7246262081172632
57,0.5213629285392763,0.3772660244646526,0.7236149787666226
58,0.5264198981478557,0.38632113915114175,0.7338650011338204
59,0.529466328321101,0.38871229769218535,0.734158674310345
60,0.5458354077576757,0.3883141766630468,0.7114125817858986
61,0.5533747162873095,0.38832217730936547,0.7017345857698176
62,0.5567728153496355,0.4116379139607861,0.7393283267651828
63,0.5671057939237648,0.41553399044133366,0.7327274644229667
64,0.5732908246808357,0.41741684348100705,0.7281066179864167
65,0.5868689524639141,0.42858898650322647,0.7302975983033961
66,0.5911274862968243,0.4284119462328298,0.7247369749572264
67,0.600996570727635,0.4245489017026765,0.7064081932924662
68,0.6068972494435576,0.41420886336337953,0.6825024561293577
69,0.6133233027241547,0.4110401604431016,0.6701851350134809
70,0.6152143019519168,0.40502907657197545,0.6583544551661467
71,0.6164171493593311,0.41973858850342893,0.6809326913433238
72,0.6172585144643977,0.4125144852910723,0.6683010045621094
73,0.6171759100901933,0.40762720318777224,0.6604716686498702
74,0.6171244184748753,0.4051279170491866,0.6564768868656918
75,0.6158376979903801,0.4006267107703856,0.6505394393323477
76,0.6151329069373966,0.41456858033580435,0.6739496061100757
77,0.6189047663222442,0.43091575351144584,0.6962553480919254
78,0.6095509536060202,0.4505443672019811,0.7391414360630922
79,0.6055413849147665,0.45877374039874186,0.7576257409116917
80,0.5934529331815747,0.4769696270106804,0.8037193858889317
81,0.5953309257817773,0.4835156547207208,0.8121796362011215
82,0.6015197628729053,0.48520160912757826,0.8066262142580611
83,0.6067232189426472,0.5049128088780812,0.8321962850836766
84,0.6142546250273436,0.5111573497962858,0.8321587318508697
85,0.6200353896965236,0.5214754514408018,0.8410414310319254
86,0.6309946103741378,0.5235565446329022,0.8297321974310811
87,0.6427366073080253,0.5299095187880217,0.8244582816084532
88,0.6525237927981566,0.5393124539949119,0.8265023589135789
89,0.6633102665746968,0.549933841258051,0.8290748221008
90,0.6831844554498555,0.5512918851075191,0.8069444213927712
91,0.6907837705799038,0.5421314754881082,0.7848063295305795
92,0.6877110555575566,0.540010333775528,0.785228519174697
93,0.6887075572020092,0.5281634033908921,0.7668906749573725
94,0.6840128592706002,0.5249800232904298,0.767500224849931
95,0.6681119419193543,0.513445129777704,0.7685016500418732
96,0.660875828106166,0.507973703582372,0.7686371357204018
97,0.6407917563662384,0.49742028473743377,0.7762588700550291
98,0.6322116853838617,0.47799576989242015,0.7560691789526068
99,0.617910212914589,0.4641991463445482,0.7512404498948011
100,0.5978859452445353,0.4477240152302243,0.7488451916144395
101,0.5873213192889439,0.4541236022753375,0.7732115068207199
102,0.5798669105941299,0.45807051211595534,0.7899580123422074
103,0.5718898076488814,0.4524115016063054,0.7910815957119992
104,0.5707662343226299,0.4863235970338186,0.8520539019113044
105,0.57452191678111,0.49379148234923687,0.8594824112469307
106,0.5649174961089949,0.483498803054293,0.8558750727044343
109,0.5636640923440734,0.4791877476125956,0.8501299872053735
110,0.561500773016181,0.4810246523718039,0.8566767411341428
111,0.55839234500394,0.4653129489719867,0.8333082520475876
113,0.5526074051092833,0.4629010167221228,0.8376670533949501
114,0.5438939879476885,0.4453297258913517,0.8187803795584211
115,0.5349055892864725,0.43833233604828514,0.8194573861772327
116,0.5399855819750916,0.43155473386247956,0.7991967716693337
117,0.5393284868536058,0.39023710603515305,0.7235610866983153
118,0.5395754909850818,0.3687156882385413,0.6833440258107193
119,0.5432079475460114,0.36353678728143374,0.6692405531320784
121,0.5572487489088919,0.35513793155550955,0.6373059289067571
122,0.5617559416072838,0.3457305791477362,0.6154462348160296
124,0.5638152291174188,0.34782750383019445,0.6169175394121126
126,0.5788716788883461,0.34535421157876656,0.5965989081414003
127,0.5815868247913205,0.3341238560775916,0.574503826144065
131,0.5832147135730688,0.32778910323977467,0.5620384664707319
133,0.5810759373357544,0.3185017809271812,0.5481241959312902
137,0.5493807703740411,0.31116682241360344,0.5663955478488049
139,0.5288419697772373,0.3153041238586108,0.5962161512850909
140,0.5330972695139924,0.3400252396861712,0.6378296403509275
141,0.5332601398018875,0.36384875426689783,0.6823100530297876
142,0.5341871801620782,0.37299515952666595,0.6982480549486327
143,0.5375377688413919,0.38797854334115983,0.721769828708796
144,0.5411832723954711,0.40260467529296873,0.7439340715593372
145,0.5436982936600241,0.4228414535522461,0.7777134092251721
147,0.5499013977550498,0.4151267886161804,0.7549113173942069
148,0.5562845159389755,0.423830184340477,0.7618946280125676
149,0.5584655494310639,0.4264724895358086,0.7636504883251563
150,0.5542982884639441,0.429241418838501,0.7743870543566042
151,0.5548670986686091,0.41073436886072157,0.7402391849260288
