frame,class,confidence,bbox
0,car,0.8916383981704712,"[732.2025146484375, 330.08331298828125, 1068.9774169921875, 497.8551025390625]"
0,car,0.8540207147598267,"[617.4854736328125, 347.3280029296875, 721.0174560546875, 414.60986328125]"
0,car,0.7782698273658752,"[227.63150024414062, 319.99151611328125, 302.9018859863281, 377.11749267578125]"
0,car,0.7637324929237366,"[59.91642761230469, 285.89447021484375, 238.1639862060547, 413.75433349609375]"
0,person,0.74941486120224,"[748.93701171875, 315.45733642578125, 771.9368896484375, 381.35076904296875]"
0,person,0.5296357274055481,"[730.3616943359375, 325.85595703125, 751.071044921875, 382.60888671875]"
0,car,0.48088014125823975,"[283.5992431640625, 318.4477844238281, 337.0418701171875, 365.6766052246094]"
0,car,0.47163766622543335,"[577.7672119140625, 322.43804931640625, 648.5985107421875, 389.572265625]"
0,car,0.4477468430995941,"[554.15625, 316.482421875, 583.120849609375, 358.461669921875]"
0,person,0.28734830021858215,"[739.381103515625, 316.51519775390625, 773.37255859375, 384.7733154296875]"
0,car,0.272188276052475,"[292.9098205566406, 319.12384033203125, 345.2998352050781, 360.09271240234375]"
0,car,0.26021698117256165,"[281.86480712890625, 320.4481201171875, 325.25311279296875, 368.2806396484375]"
1,car,0.8860673904418945,"[731.6219482421875, 331.83673095703125, 1079.782470703125, 501.6314697265625]"
1,car,0.7980725169181824,"[619.140380859375, 347.55438232421875, 720.39794921875, 413.54583740234375]"
1,person,0.7414990663528442,"[748.5985107421875, 315.954345703125, 771.4566650390625, 382.89813232421875]"
1,car,0.7395715713500977,"[228.91363525390625, 318.5892333984375, 302.80078125, 377.000244140625]"
1,car,0.6953460574150085,"[63.28883361816406, 286.75433349609375, 240.84535217285156, 410.9722900390625]"
1,person,0.48274391889572144,"[729.996337890625, 326.6850891113281, 750.27001953125, 383.6332092285156]"
1,car,0.4504760801792145,"[554.22705078125, 317.3729248046875, 584.697509765625, 359.60552978515625]"
1,car,0.40278908610343933,"[578.4329833984375, 323.61627197265625, 654.7215576171875, 389.86236572265625]"
1,car,0.39794841408729553,"[284.51922607421875, 318.7157287597656, 334.21649169921875, 365.9991149902344]"
1,car,0.3216903507709503,"[290.4410400390625, 324.104736328125, 329.46453857421875, 364.697509765625]"
1,person,0.3185741603374481,"[740.124267578125, 316.9404602050781, 772.00537109375, 385.5727844238281]"
1,car,0.2947234511375427,"[290.92724609375, 321.82672119140625, 344.0667724609375, 362.60052490234375]"
