frame,original_detections,avg_corrupted_confidence,corrupted_detections,weighted_confidence
0,11,0.565560852487882,12,0.6169754754413258
1,11,0.523195172731693,13,0.618321567773819
2,10,0.604920843243599,10,0.604920843243599
3,12,0.46804640614069426,13,0.5070502733190855
4,10,0.5595335861047109,12,0.6714403033256531
5,13,0.5643103544910749,12,0.5209018656840692
6,14,0.5476786656813188,11,0.4303189516067505
7,11,0.503733543249277,13,0.595321460203691
8,11,0.5082679941104009,13,0.6006803566759283
9,9,0.5036540077282832,13,0.7275002333852979
10,10,0.5429727218367837,11,0.5972699940204621
11,10,0.5417947520812353,12,0.6501537024974824
12,12,0.47782291658222675,16,0.6370972221096357
13,13,0.5429530604319139,11,0.45942182036546564
14,10,0.6209697160455916,9,0.5588727444410324
15,12,0.5430982925675132,11,0.4978401015202204
16,12,0.4406080160822187,14,0.5140426854292551
17,11,0.5923609005080329,9,0.4846589185974815
18,13,0.5912536084651947,9,0.4093294212451348
19,13,0.5535430799831044,11,0.46838260613954985
20,11,0.4739971160888672,10,0.43090646917169745
21,15,0.46344621823384213,13,0.4016533891359965
22,16,0.5161842741072178,8,0.2580921370536089
23,15,0.5251374608940549,9,0.3150824765364329
24,15,0.5565515346825123,8,0.29682748516400653
25,13,0.48736117141587393,7,0.262425246147009
26,12,0.3925443907578786,15,0.49068048844734824
27,14,0.428785421631553,11,0.3369028312819345
28,14,0.4441035658121109,10,0.3172168327229364
29,13,0.3872203802069028,12,0.35743419711406416
30,15,0.3568673106757077,11,0.261702694495519
31,16,0.3576893632610639,12,0.2682670224457979
32,13,0.39155327280362445,9,0.27107534271020156
33,15,0.4258723684719631,7,0.19874043862024945
34,14,0.37508574873209,8,0.2143347135611943
35,19,0.4189034909009933,10,0.2204755215268386
36,16,0.3397667176193661,9,0.19111877866089344
37,18,0.41209841668605807,10,0.2289435648255878
38,21,0.36860197143895285,14,0.24573464762596858
39,22,0.39761387556791306,12,0.21688029576431622
40,22,0.4109280597079884,11,0.2054640298539942
41,15,0.44126139415635,9,0.26475683649381
42,18,0.3632144602862271,11,0.22196439239713878
43,17,0.3816136350998512,13,0.29182219154694505
44,17,0.4077756383589336,14,0.33581523158971
45,18,0.4436972263981314,17,0.4190473804871241
46,21,0.35940915904939175,16,0.27383554975191754
47,17,0.34147267209159005,18,0.3615592998616836
48,16,0.4175212207962485,17,0.443616297096014
49,16,0.4365444289786475,14,0.38197637535631657
50,17,0.38168335556983946,20,0.44903924184686994
51,19,0.4290733873844147,15,0.33874214793506424
52,18,0.4067332713227523,19,0.4293295641740163
53,19,0.4275309145450592,16,0.3600260333011025
54,17,0.4271623896700995,14,0.3517807914930231
55,17,0.45100636117988163,18,0.4775361471316394
56,16,0.4642273731091443,17,0.49324158392846584
57,15,0.42533233060556297,17,0.482043308019638
58,15,0.4397652872971126,14,0.4104476014773051
59,16,0.41740464312689646,14,0.3652290627360344
60,12,0.43631926817553385,14,0.5090391462047895
61,18,0.47467079386115074,16,0.4219295945432451
62,17,0.45982189575831095,15,0.40572520213968616
63,16,0.5446021727153233,14,0.4765269011259079
64,17,0.4744304493069649,16,0.4465227758183199
65,19,0.4717853152089649,18,0.44695450914533513
66,18,0.46820016126883657,19,0.4942112813393275
67,14,0.45776774287223815,20,0.6539539183889116
68,14,0.47004154986805385,18,0.6043391355446407
69,17,0.46934210260709125,18,0.49695046158397893
70,17,0.39941919247309365,15,0.352428699240965
71,17,0.45415059878275943,13,0.34729163436328664
72,15,0.40238966850134045,13,0.3487377127011617
73,19,0.3616325755914052,9,0.17129964106961298
74,15,0.4717482593324449,9,0.2830489555994669
75,21,0.3876607542236646,12,0.2215204309849512
76,19,0.38497510800759,12,0.24314217347847789
77,19,0.3892076388001442,12,0.2458153508211437
78,18,0.4250315688550472,8,0.1889029194911321
79,19,0.4280738559636203,11,0.2478322323999907
80,20,0.35942725837230677,4,0.07188545167446135
81,14,0.34424211581548053,9,0.2212985030242375
82,18,0.3557900091012319,6,0.11859666970041062
83,17,0.4000328949519566,7,0.1647194273331586
84,15,0.41326503455638885,12,0.33061202764511105
85,16,0.433254395922025,6,0.1624703984707594
86,15,0.5044404342770576,4,0.1345174491405487
87,15,0.4104790488878886,6,0.16419161955515543
100,11,0.2545732259750366,1,0.023143020543185146
117,12,0.32626165449619293,2,0.05437694241603216
118,12,0.4346371293067932,2,0.0724395215511322
119,16,0.2774302959442138,1,0.017339393496513363
120,14,0.34762920439243317,2,0.04966131491320474
121,10,0.4139620165030162,3,0.12418860495090486
122,9,0.29212646931409836,4,0.1298339863618215
123,11,0.2617687284946441,1,0.023797157135876736
125,7,0.39762721459070843,3,0.1704116633960179
126,9,0.37828952074050903,3,0.126096506913503
127,10,0.3990763872861862,2,0.07981527745723724
128,9,0.4093926399946213,2,0.09097614222102696
129,11,0.45443470776081085,2,0.08262449232014743
130,12,0.45403913656870526,3,0.11350978414217631
131,11,0.5550518333911896,2,0.10091851516203447
132,11,0.5275530219078064,2,0.0959187312559648
133,10,0.5724483132362366,5,0.2862241566181183
134,10,0.583375084400177,5,0.2916875422000885
135,8,0.49925568368699813,9,0.5616626441478729
136,8,0.5114415362477303,8,0.5114415362477303
137,10,0.5413082052360881,11,0.595439025759697
138,8,0.5667964451842837,9,0.6376460008323193
139,8,0.4169935494661331,10,0.5212419368326664
140,8,0.5245243310928345,7,0.45895878970623016
