frame,confidence,smoothed_conf
0,0.575063169002533,0.575063169002533
1,0.5458958279341459,0.5604794984683394
2,0.5190951789126677,0.5466847252831155
3,0.5867066423098246,0.5566902045397928
4,0.5723411579926808,0.5598203952303704
5,0.5593517124652863,0.5597422814361898
6,0.5818505057921777,0.5629005992013308
7,0.5582198521920613,0.5623155058251721
8,0.58028401860169,0.5643120072447853
9,0.5763486708913531,0.565515673609442
10,0.5744796480451312,0.5654573215137019
12,0.5740959282432284,0.5682773315446101
13,0.524160091082255,0.5687838227615688
14,0.49296458065509796,0.5594096165960962
15,0.46171371524150556,0.5483468723209787
16,0.4493756055831909,0.5373492616327691
17,0.4630185230211778,0.5254660633556691
18,0.38094395895799,0.507738474032262
19,0.3929594695568085,0.48900601912777386
20,0.40096182823181153,0.4714673348618197
21,0.3283552612577165,0.4468548961830782
22,0.3693610529104869,0.42638140864980406
23,0.3231952130794525,0.4062849208495238
24,0.31090765073895454,0.38807922785790944
25,0.35419128835201263,0.3773269851689601
26,0.39377304166555405,0.3717667287771965
27,0.42632460594177246,0.36809733706925596
28,0.42815373837947845,0.3728183150114048
29,0.3852621018886566,0.3720485782445896
30,0.4215863823890686,0.37411103366031534
31,0.38190063834190363,0.379465571368734
32,0.6334018707275391,0.40586965315043927
33,0.35659969598054886,0.40921010144054887
34,0.36219121019045514,0.41433845738569897
35,0.42103386918703706,0.42102271546920134
36,0.36087994277477264,0.41773340558012323
37,0.4253474399447441,0.41763568898042036
38,0.3448058217763901,0.40930089732011155
39,0.36890031894048053,0.407664719025294
40,0.3114908635616302,0.3966551671425501
41,0.33186050504446024,0.39165115381280574
42,0.3587634364763896,0.3641873103876908
43,0.3754177192846934,0.36606911271810527
44,0.4105023592710495,0.3709002276261647
45,0.2957767248153686,0.3583745131889979
46,0.39277222752571106,0.3615637416640917
47,0.34129558503627777,0.3531585561732451
48,0.3562379032373428,0.35430176431934035
49,0.4279149770736694,0.36020323013265926
50,0.45365746319293976,0.3744198900957902
51,0.3614649474620819,0.3773803343375524
52,0.2828390300273895,0.36978789369265236
53,0.4120806008577347,0.3734541818499565
54,0.412256196141243,0.37362956553697585
55,0.38114290436108905,0.38216618349154785
56,0.34260277662958416,0.3771492384019352
57,0.34246344566345216,0.3772660244646526
58,0.4467890501022339,0.38632113915114175
59,0.4518265624841054,0.38871229769218535
60,0.4496762529015541,0.3883141766630468
61,0.361544953925269,0.38832217730936547
62,0.5159963965415955,0.4116379139607861
63,0.45104136566321057,0.41553399044133366
64,0.43108472653797697,0.41741684348100705
65,0.4928643345832825,0.42858898650322647
66,0.34083237392561777,0.4284119462328298
67,0.30383300036191935,0.4245489017026765
68,0.3433886667092641,0.41420886336337953
69,0.4201395332813263,0.4110401604431016
70,0.38956541419029234,0.40502907657197545
71,0.5086400732398033,0.41973858850342893
72,0.44375536441802976,0.4125144852910723
73,0.4021685446302096,0.40762720318777224
74,0.4060918651521206,0.4051279170491866
75,0.4478522717952728,0.4006267107703856
76,0.4802510695798056,0.41456858033580435
77,0.46730473211833407,0.43091575351144584
78,0.5396748036146164,0.4505443672019811
79,0.5024332652489344,0.45877374039874186
80,0.5715242803096772,0.4769696270106804
81,0.5741003503402075,0.4835156547207208
82,0.4606149084866047,0.48520160912757826
83,0.5992805421352386,0.5049128088780812
84,0.4685372743341658,0.5111573497962858
85,0.5510332882404327,0.5214754514408018
86,0.5010620015008109,0.5235565446329022
87,0.530834473669529,0.5299095187880217
88,0.6337041556835175,0.5393124539949119
89,0.6086471378803253,0.549933841258051
90,0.5851047188043594,0.5512918851075191
91,0.4824962541460991,0.5421314754881082
92,0.4394034913608006,0.540010333775528
93,0.4808112382888794,0.5281634033908921
94,0.43670347332954407,0.5249800232904298
95,0.43568435311317444,0.513445129777704
96,0.4463477395474911,0.507973703582372
97,0.4253002852201462,0.49742028473743377
98,0.43945900723338127,0.47799576989242015
99,0.47068090240160626,0.4641991463445482
100,0.4203534076611201,0.4477240152302243
101,0.5464921245972315,0.4541236022753375
102,0.4788725897669792,0.45807051211595534
103,0.42422113319238025,0.4524115016063054
104,0.7758244276046753,0.4863235970338186
105,0.5103632062673569,0.49379148234923687
106,0.34342094659805295,0.483498803054293
109,0.3821897308031718,0.4791877476125956
110,0.4578280548254649,0.4810246523718039
111,0.31356386840343475,0.4653129489719867
113,0.39623408516248065,0.4629010167221228
114,0.37077921628952026,0.4453297258913517
115,0.4088986913363139,0.43833233604828514
116,0.3564451113343238,0.43155473386247956
117,0.3626481493314107,0.39023710603515305
118,0.295149028301239,0.3687156882385413
119,0.29163193702697754,0.36353678728143374
121,0.29820117354393,0.35513793155550955
122,0.3637545307477315,0.3457305791477362
124,0.33453311522801715,0.34782750383019445
126,0.371501162648201,0.34535421157876656
