frame,original_detections,avg_corrupted_confidence,corrupted_detections,weighted_confidence
0,11,0.5890668576413934,11,0.5890668576413934
1,11,0.582571265372363,11,0.582571265372363
2,10,0.6275450080633164,10,0.6275450080633163
3,12,0.5663154746095339,12,0.5663154746095339
4,10,0.6185753822326661,10,0.6185753822326661
5,13,0.5450892608899337,13,0.5450892608899337
6,14,0.5449394477265221,14,0.5449394477265221
7,11,0.5754548175768419,11,0.5754548175768419
8,11,0.5749241980639371,11,0.5749241980639371
9,9,0.635117706325319,9,0.635117706325319
10,10,0.6210099190473557,10,0.6210099190473557
11,10,0.6417384773492814,10,0.6417384773492814
12,12,0.5848846336205801,12,0.5848846336205801
13,13,0.5836931742154635,13,0.5836931742154635
14,10,0.6506612718105316,10,0.6506612718105316
15,12,0.5622663671771685,12,0.5622663671771685
16,12,0.5688439831137657,12,0.5688439831137657
17,11,0.6169773231853138,11,0.6169773231853138
18,13,0.5684193808298844,13,0.5684193808298844
19,13,0.5551402408343095,13,0.5551402408343095
20,11,0.582160001451319,11,0.582160001451319
21,15,0.5172975401083628,15,0.5172975401083628
22,16,0.514099707826972,16,0.514099707826972
23,15,0.5273204664389293,15,0.5273204664389293
24,15,0.5236784199873606,15,0.5236784199873606
25,13,0.5582932669382829,13,0.5582932669382829
26,12,0.5587083299954733,12,0.5587083299954733
27,14,0.5313360967806408,14,0.5313360967806408
28,14,0.5111083154167447,14,0.5111083154167447
29,13,0.48970935207146865,13,0.4897093520714686
30,15,0.4681063711643219,15,0.4681063711643219
31,16,0.47386295162141323,16,0.47386295162141323
32,13,0.5331906607517829,13,0.5331906607517829
33,15,0.4846766173839569,15,0.4846766173839569
34,14,0.4874729279960905,14,0.4874729279960905
35,19,0.43642271819867584,19,0.43642271819867584
36,16,0.4724534098058939,16,0.4724534098058939
37,18,0.4577566153473324,18,0.45775661534733236
38,21,0.4392276505629222,21,0.43922765056292223
39,22,0.4568511328913949,22,0.4568511328913949
40,22,0.4548815597187389,22,0.4548815597187389
41,15,0.5150143524010976,15,0.5150143524010976
42,18,0.49369921121332383,18,0.49369921121332383
43,17,0.510353800128488,17,0.510353800128488
44,17,0.5244553176795735,17,0.5244553176795735
45,18,0.5143117672867246,18,0.5143117672867246
46,21,0.4497831804411752,21,0.4497831804411752
47,17,0.49866864786428566,17,0.49866864786428566
48,16,0.48827795311808586,16,0.48827795311808586
49,16,0.5137668661773205,16,0.5137668661773205
50,17,0.5252563076860765,17,0.5252563076860765
51,19,0.5101905763149261,19,0.5101905763149261
52,18,0.5157559431261487,18,0.5157559431261487
53,19,0.5089935315282721,19,0.5089935315282721
54,17,0.5617489025873297,17,0.5617489025873297
55,17,0.5479436551823336,17,0.5479436551823336
56,16,0.5527031943202019,16,0.5527031943202019
57,15,0.5621466835339864,15,0.5621466835339864
58,15,0.5409163296222687,15,0.5409163296222687
59,16,0.560696966946125,16,0.560696966946125
60,12,0.6285521810253462,12,0.6285521810253462
61,18,0.5210121770699819,18,0.5210121770699819
62,17,0.5405945970731623,17,0.5405945970731623
63,16,0.5768000762909651,16,0.5768000762909651
64,17,0.5717784096212948,17,0.5717784096212948
65,19,0.5317154103203824,19,0.5317154103203824
66,18,0.527445352739758,18,0.527445352739758
67,14,0.6310752992119107,14,0.6310752992119107
68,14,0.632002096090998,14,0.632002096090998
69,17,0.5546350671964533,17,0.5546350671964533
70,17,0.5121758299715379,17,0.5121758299715379
71,17,0.5425801960860982,17,0.5425801960860982
72,15,0.5372704342007637,16,0.5730884631474813
73,19,0.5098590348896227,19,0.5098590348896227
74,15,0.5720595022042593,15,0.5720595022042593
75,21,0.5258381813764572,20,0.5007982679775783
76,19,0.4744425799165453,21,0.524383904118287
77,19,0.5243945171435674,18,0.49679480571495865
78,18,0.5007052092175734,19,0.5285221652852163
79,19,0.54822262790468,18,0.5193688053833811
80,20,0.5285742779572805,18,0.47571685016155246
81,14,0.5452287793159485,14,0.5452287793159485
82,18,0.5198174901306629,16,0.46205999122725594
83,17,0.526298064738512,16,0.49533935504801135
84,15,0.601575738617352,14,0.5614706893761952
85,16,0.5308940261602402,16,0.5308940261602402
86,15,0.535901162554236,17,0.6073546508948009
87,15,0.5935150874512536,14,0.5539474149545033
88,16,0.5509845539927483,16,0.5509845539927483
89,14,0.5693187157313029,15,0.6099843382835388
90,14,0.6585562651356062,12,0.5644767986876624
91,13,0.586009185229029,14,0.6310868148620312
92,15,0.545555392280221,16,0.581925751765569
93,12,0.5460152812302113,16,0.728020374973615
94,15,0.6235149365205032,13,0.5403796116511027
95,13,0.5797697582415172,14,0.6243674319524031
96,12,0.579503325621287,15,0.7243791570266088
97,12,0.4421948658095466,9,0.3316461493571599
104,10,0.29354000091552734,2,0.05870800018310547
106,11,0.3174413740634918,2,0.057716613466089424
107,16,0.2586733400821686,1,0.016167083755135536
108,11,0.3778928816318512,1,0.03435389833016829
109,14,0.399258628487587,2,0.057036946926798136
110,9,0.3788807988166809,2,0.08419573307037354
111,13,0.4577098786830902,1,0.03520845220639156
112,13,0.3200930058956146,1,0.02462253891504728
113,12,0.2661821544170379,1,0.022181846201419827
114,13,0.3431507110595703,5,0.13198104271521935
115,11,0.4473856935898463,6,0.2440285601399162
116,10,0.38220435976982114,5,0.19110217988491057
117,12,0.4289005796114604,3,0.1072251449028651
118,12,0.467517614364624,1,0.038959801197052
119,16,0.3062587678432464,1,0.0191411729902029
123,11,0.2623341381549835,1,0.023848558014089413
124,8,0.2793818414211273,2,0.06984546035528183
133,10,0.2716919481754303,1,0.02716919481754303
135,8,0.3552647332350413,3,0.1332242749631405
136,8,0.2970021069049835,1,0.03712526336312294
137,10,0.37515733391046524,4,0.1500629335641861
138,8,0.44611553847789764,2,0.11152888461947441
139,8,0.34179189801216125,2,0.08544797450304031
140,8,0.7159653902053833,1,0.08949567377567291
141,10,0.4304186552762985,2,0.08608373105525971
142,8,0.43001610040664673,2,0.10750402510166168
143,8,0.5131737589836121,3,0.19244015961885452
144,10,0.4287785142660141,2,0.08575570285320282
145,10,0.4627804420888424,8,0.3702243536710739
146,9,0.5462811291217804,2,0.12139580647150676
147,10,0.44396823218890596,7,0.31077776253223416
148,9,0.4113412840025766,7,0.31993210977978176
149,10,0.41956058144569397,5,0.20978029072284698
150,7,0.5878633558750153,2,0.16796095882143294
151,7,0.491165558497111,3,0.21049952507019043
152,9,0.6107024177908897,4,0.271423296795951
153,8,0.43879379630088805,5,0.27424612268805504
154,9,0.3438367322087288,4,0.15281632542610168
155,8,0.6332421004772186,2,0.15831052511930466
156,8,0.5330862402915955,2,0.13327156007289886
157,8,0.5722726583480835,2,0.14306816458702087
158,7,0.3887130543589592,4,0.22212174534797668
159,9,0.5001884187970843,7,0.3890354368421767
160,8,0.4871413230895996,5,0.30446332693099976
161,10,0.5770578265190125,5,0.28852891325950625
162,7,0.4482671568791072,6,0.3842289916106633
163,10,0.5217644075552622,6,0.31305864453315735
164,7,0.548626184463501,6,0.47025101525442947
165,6,0.435437586158514,8,0.580583448211352
166,6,0.4100843753133501,7,0.47843177119890845
167,6,0.44100652422223774,7,0.5145076115926107
168,6,0.47136186957359316,5,0.39280155797799426
169,7,0.6284019127488136,4,0.35908680728503634
170,7,0.5563367068767547,5,0.39738336205482483
171,7,0.5766976952552796,5,0.4119269251823426
172,6,0.58274045586586,2,0.19424681862195334
173,4,0.7882375518480936,3,0.5911781638860703
174,6,0.6441294431686402,5,0.5367745359738668
175,6,0.7134605050086975,4,0.475640336672465
176,6,0.854386031627655,3,0.4271930158138275
177,6,0.6200768649578094,5,0.5167307207981745
178,6,0.5662043035030365,5,0.47183691958586377
179,6,0.6088173270225525,5,0.5073477725187938
180,6,0.6652311161160469,4,0.44348741074403125
181,7,0.6303868368268013,4,0.36022104961531504
182,7,0.519353561103344,4,0.2967734634876251
183,7,0.664274550974369,4,0.3795854576996395
184,6,0.5866531729698181,3,0.29332658648490906
185,7,0.5703358848889669,3,0.24442966495241436
186,6,0.4669583663344383,4,0.31130557755629223
187,8,0.49413590629895526,3,0.18530096486210823
188,6,0.4408872127532959,3,0.22044360637664795
189,5,0.5378896743059158,4,0.43031173944473267
190,4,0.5291884392499924,4,0.5291884392499924
191,4,0.5218250850836436,3,0.3913688138127327
192,4,0.5299032330513,2,0.26495161652565
193,4,0.48109827438990277,3,0.36082370579242706
194,4,0.4778893142938614,2,0.2389446571469307
195,4,0.36743202805519104,4,0.36743202805519104
196,4,0.43704429268836975,2,0.21852214634418488
197,4,0.5179106295108795,2,0.25895531475543976
198,6,0.5471256524324417,2,0.18237521747748056
199,5,0.6712463796138763,2,0.26849855184555055
200,4,0.5174150466918945,2,0.25870752334594727
201,6,0.47596435248851776,2,0.15865478416283926
202,4,0.35893863439559937,3,0.2692039757966995
203,4,0.4550309181213379,3,0.3412731885910034
204,5,0.4124855399131775,2,0.164994215965271
205,4,0.4275617599487304,1,0.1068904399871826
206,5,0.2615979015827179,1,0.05231958031654358
207,3,0.4262930750846863,2,0.28419538338979083
208,3,0.5728104710578918,1,0.19093682368596396
209,3,0.7660233378410339,1,0.255341112613678
210,2,0.5290809571743011,2,0.5290809571743011
211,2,0.5359296947717667,2,0.5359296947717667
212,3,0.5504787117242813,2,0.36698580781618756
213,3,0.6148285865783691,1,0.2049428621927897
214,2,0.6024037798245748,3,0.9036056697368622
215,2,0.5231570104757944,3,0.7847355157136917
216,2,0.5525238911310831,3,0.8287858366966248
217,2,0.47896992166837055,3,0.7184548825025558
218,2,0.6053357919057211,3,0.9080036878585815
219,3,0.7024218340714773,3,0.7024218340714773
220,3,0.63902614514033,3,0.63902614514033
221,3,0.49761863052845,4,0.6634915073712667
222,3,0.5372471153736115,5,0.895411858956019
223,3,0.4716032147407532,8,1.2576085726420085
224,5,0.6906403104464213,3,0.4143841862678527
225,4,0.4382879137992859,8,0.8765758275985718
226,5,0.4730076491832733,8,0.7568122386932373
227,4,0.4961596926053365,6,0.7442395389080048
228,4,0.46538568536440533,6,0.698078528046608
229,4,0.650835653146108,3,0.488126739859581
230,6,0.7542062997817993,3,0.37710314989089966
231,6,0.5234176814556122,5,0.4361814012130102
232,5,0.5953618586063385,5,0.5953618586063385
233,5,0.5069382041692734,4,0.4055505633354187
234,5,0.46611132472753525,4,0.3728890597820282
235,5,0.556362509727478,3,0.33381750583648684
236,8,0.5565200746059418,3,0.20869502797722816
237,7,0.6057216823101044,3,0.25959500670433044
238,6,0.48833264112472535,5,0.4069438676039378
243,7,0.2968723773956299,1,0.04241033962794712
244,6,0.4160702228546142,1,0.0693450371424357
245,5,0.47959616780281067,3,0.2877577006816864
246,6,0.6640780568122864,1,0.11067967613538106
247,6,0.4632419943809509,3,0.23162099719047546
248,6,0.5671407729387283,2,0.18904692431290945
249,6,0.7784067392349243,2,0.2594689130783081
250,7,0.4527102708816528,1,0.06467289584023611
251,7,0.32767276962598163,3,0.14043118698256357
252,7,0.26959705352783203,2,0.07702772957938057
253,7,0.41754879057407374,4,0.2385993088994707
254,7,0.46948013454675674,4,0.2682743625981467
255,5,0.4034294933080673,2,0.16137179732322693
256,5,0.39001386364301044,3,0.23400831818580628
257,3,0.4737583001454671,3,0.47375830014546716
258,4,0.4539792090654373,4,0.4539792090654373
259,3,0.460884690284729,3,0.460884690284729
260,4,0.4001849964261055,4,0.4001849964261055
261,4,0.5778719931840897,2,0.28893599659204483
262,6,0.4581959396600723,2,0.15273197988669077
263,4,0.5721326569716135,3,0.4290994927287102
264,5,0.74355149269104,2,0.297420597076416
265,4,0.7156594395637512,2,0.3578297197818756
266,5,0.637685497601827,3,0.3826112985610962
267,8,0.5100600719451904,3,0.1912725269794464
268,5,0.5820614000161489,3,0.34923684000968935
269,7,0.5163257122039795,3,0.22128244808741981
270,6,0.6024099588394165,2,0.20080331961313883
271,5,0.5282186071077982,3,0.31693116426467893
272,5,0.6245552003383636,2,0.24982208013534546
273,5,0.5509313742319742,3,0.3305588245391845
274,5,0.6021124124526978,3,0.36126744747161865
275,6,0.6128459672133127,3,0.3064229836066564
276,7,0.6264709929625193,3,0.26848756841250826
277,7,0.6593733032544454,3,0.28258855853761944
278,6,0.6133161981900533,3,0.30665809909502667
279,8,0.587965706984202,3,0.22048714011907578
280,6,0.5210880562663078,4,0.3473920375108719
